Date,co2,no2,sootA,sootM
494162267,310,41,13,205
494162268,242,43,12,160
494162269,114,34,12,295
494162270,472,31,17,347
494162271,161,35,16,245
494162272,422,34,14,48
494162273,73,35,18,194
494162274,240,34,21,285
494162275,128,32,13,300
494162276,144,32,19,288
494162277,294,37,14,281
494162278,56,45,25,364
494162279,248,30,13,183
494162280,47,39,23,98
494162281,19,45,20,435
494162282,370,39,14,37
494162283,424,40,21,302
494162284,463,41,17,140
494162285,24,31,17,225
494162286,358,45,17,438
494162287,411,42,15,40
494162288,271,34,23,49
494162289,116,41,20,412
494162290,284,43,25,469
494162291,396,37,24,53
494162292,1,35,12,246
494162293,473,40,21,181
494162294,200,32,17,73
494162295,237,35,12,441
494162296,100,42,17,303
494162297,336,39,15,150
494162298,394,30,14,146
494162299,310,41,13,205
494162300,242,43,12,160
494162301,114,34,12,295
494162302,472,31,17,347
494162303,161,35,16,245
494162304,422,34,14,48
494162305,73,35,18,194
494162306,240,34,21,285
494162307,128,32,13,300
494162308,144,32,19,288
494162309,294,37,14,281
494162310,56,45,25,364
494162311,248,30,13,183
494162312,47,39,23,98
494162313,19,45,20,435
494162314,370,39,14,37
494162315,424,40,21,302
494162316,463,41,17,140
494162317,24,31,17,225
494162318,358,45,17,438
494162319,411,42,15,40
494162320,271,34,23,49
494162321,116,41,20,412
494162322,284,43,25,469
494162323,396,37,24,53
494162324,1,35,12,246
494162325,473,40,21,181
494162326,200,32,17,73
494162327,237,35,12,441
494162328,100,42,17,303
494162329,336,39,15,150
494162330,394,30,14,146
494162331,310,41,13,205
494162332,242,43,12,160
494162333,114,34,12,295
494162334,472,31,17,347
494162335,161,35,16,245
494162336,422,34,14,48
494162337,73,35,18,194
494162338,240,34,21,285
494162339,128,32,13,300
494162340,144,32,19,288
494162341,294,37,14,281
494162342,56,45,25,364
494162343,248,30,13,183
494162344,47,39,23,98
494162345,19,45,20,435
494162346,370,39,14,37
494162347,424,40,21,302
494162348,463,41,17,140
494162349,24,31,17,225
494162350,358,45,17,438
494162351,411,42,15,40
494162352,271,34,23,49
494162353,116,41,20,412
494162354,284,43,25,469
494162355,396,37,24,53
494162356,1,35,12,246
494162357,473,40,21,181
494162358,200,32,17,73
494162359,237,35,12,441
494162360,100,42,17,303
494162361,336,39,15,150
494162362,394,30,14,146
494162363,310,41,13,205
494162364,242,43,12,160
494162365,114,34,12,295
494162366,472,31,17,347
494162367,161,35,16,245
494162368,422,34,14,48
494162369,73,35,18,194
494162370,240,34,21,285
494162371,128,32,13,300
494162372,144,32,19,288
494162373,294,37,14,281
494162374,56,45,25,364
494162375,248,30,13,183
494162376,47,39,23,98
494162377,19,45,20,435
494162378,370,39,14,37
494162379,424,40,21,302
494162380,463,41,17,140
494162381,24,31,17,225
494162382,358,45,17,438
494162383,411,42,15,40
494162384,271,34,23,49
494162385,116,41,20,412
494162386,284,43,25,469
494162387,396,37,24,53
494162388,1,35,12,246
494162389,473,40,21,181
494162390,200,32,17,73
494162391,237,35,12,441
494162392,100,42,17,303
494162393,336,39,15,150
494162394,394,30,14,146
494162395,310,41,13,205
494162396,242,43,12,160
494162397,114,34,12,295
494162398,472,31,17,347
494162399,161,35,16,245
494162400,422,34,14,48
494162401,73,35,18,194
494162402,240,34,21,285
494162403,128,32,13,300
494162404,144,32,19,288
494162405,294,37,14,281
494162406,56,45,25,364
494162407,248,30,13,183
494162408,47,39,23,98
494162409,19,45,20,435
494162410,370,39,14,37
494162411,424,40,21,302
494162412,463,41,17,140
494162413,24,31,17,225
494162414,358,45,17,438
494162415,411,42,15,40
494162416,271,34,23,49
494162417,116,41,20,412
494162418,284,43,25,469
494162419,396,37,24,53
494162420,1,35,12,246
494162421,473,40,21,181
494162422,200,32,17,73
494162423,237,35,12,441
494162424,100,42,17,303
494162425,336,39,15,150
494162426,394,30,14,146
494162427,310,41,13,205
494162428,242,43,12,160
494162429,114,34,12,295
494162430,472,31,17,347
494162431,161,35,16,245
494162432,422,34,14,48
494162433,73,35,18,194
494162434,240,34,21,285
494162435,128,32,13,300
494162436,144,32,19,288
494162437,294,37,14,281
494162438,56,45,25,364
494162439,248,30,13,183
494162440,47,39,23,98
494162441,19,45,20,435
494162442,370,39,14,37
494162443,424,40,21,302
494162444,463,41,17,140
494162445,24,31,17,225
494162446,358,45,17,438
494162447,411,42,15,40
494162448,271,34,23,49
494162449,116,41,20,412
494162450,284,43,25,469
494162451,396,37,24,53
494162452,1,35,12,246
494162453,473,40,21,181
494162454,200,32,17,73
494162455,237,35,12,441
494162456,100,42,17,303
494162457,336,39,15,150
494162458,394,30,14,146
494162459,310,41,13,205
494162460,242,43,12,160
494162461,114,34,12,295
494162462,472,31,17,347
494162463,161,35,16,245
494162464,422,34,14,48
494162465,73,35,18,194
494162466,240,34,21,285
494162467,128,32,13,300
494162468,144,32,19,288
494162469,294,37,14,281
494162470,56,45,25,364
494162471,248,30,13,183
494162472,47,39,23,98
494162473,19,45,20,435
494162474,370,39,14,37
494162475,424,40,21,302
494162476,463,41,17,140
494162477,24,31,17,225
494162478,358,45,17,438
494162479,411,42,15,40
494162480,271,34,23,49
494162481,116,41,20,412
494162482,284,43,25,469
494162483,396,37,24,53
494162484,1,35,12,246
494162485,473,40,21,181
494162486,200,32,17,73
494162487,237,35,12,441
494162488,100,42,17,303
494162489,336,39,15,150
494162490,394,30,14,146
494162491,310,41,13,205
494162492,242,43,12,160
494162493,114,34,12,295
494162494,472,31,17,347
494162495,161,35,16,245
494162496,422,34,14,48
494162497,73,35,18,194
494162498,240,34,21,285
494162499,128,32,13,300
494162500,144,32,19,288
494162501,294,37,14,281
494162502,56,45,25,364
494162503,248,30,13,183
494162504,47,39,23,98
494162505,19,45,20,435
494162506,370,39,14,37
494162507,424,40,21,302
494162508,463,41,17,140
494162509,24,31,17,225
494162510,358,45,17,438
494162511,411,42,15,40
494162512,271,34,23,49
494162513,116,41,20,412
494162514,284,43,25,469
494162515,396,37,24,53
494162516,1,35,12,246
494162517,473,40,21,181
494162518,200,32,17,73
494162519,237,35,12,441
494162520,100,42,17,303
494162521,336,39,15,150
494162522,394,30,14,146
494162523,310,41,13,205
494162524,242,43,12,160
494162525,114,34,12,295
494162526,472,31,17,347
494162527,161,35,16,245
494162528,422,34,14,48
494162529,73,35,18,194
494162530,240,34,21,285
494162531,128,32,13,300
494162532,144,32,19,288
494162533,294,37,14,281
494162534,56,45,25,364
494162535,248,30,13,183
494162536,47,39,23,98
494162537,19,45,20,435
494162538,370,39,14,37
494162539,424,40,21,302
494162540,463,41,17,140
494162541,24,31,17,225
494162542,358,45,17,438
494162543,411,42,15,40
494162544,271,34,23,49
494162545,116,41,20,412
494162546,284,43,25,469
494162547,396,37,24,53
494162548,1,35,12,246
494162549,473,40,21,181
494162550,200,32,17,73
494162551,237,35,12,441
494162552,100,42,17,303
494162553,336,39,15,150
494162554,394,30,14,146
494162555,310,41,13,205
494162556,242,43,12,160
494162557,114,34,12,295
494162558,472,31,17,347
494162559,161,35,16,245
494162560,422,34,14,48
494162561,73,35,18,194
494162562,240,34,21,285
494162563,128,32,13,300
494162564,144,32,19,288
494162565,294,37,14,281
494162566,56,45,25,364
494162567,248,30,13,183
494162568,47,39,23,98
494162569,19,45,20,435
494162570,370,39,14,37
494162571,424,40,21,302
494162572,463,41,17,140
494162573,24,31,17,225
494162574,358,45,17,438
494162575,411,42,15,40
494162576,271,34,23,49
494162577,116,41,20,412
494162578,284,43,25,469
494162579,396,37,24,53
494162580,1,35,12,246
494162581,473,40,21,181
494162582,200,32,17,73
494162583,237,35,12,441
494162584,100,42,17,303
494162585,336,39,15,150
494162586,394,30,14,146
494162587,310,41,13,205
494162588,242,43,12,160
494162589,114,34,12,295
494162590,472,31,17,347
494162591,161,35,16,245
494162592,422,34,14,48
494162593,73,35,18,194
494162594,240,34,21,285
494162595,128,32,13,300
494162596,144,32,19,288
494162597,294,37,14,281
494162598,56,45,25,364
494162599,248,30,13,183
494162600,47,39,23,98
494162601,19,45,20,435
494162602,370,39,14,37
494162603,424,40,21,302
494162604,463,41,17,140
494162605,24,31,17,225
494162606,358,45,17,438
494162607,411,42,15,40
494162608,271,34,23,49
494162609,116,41,20,412
494162610,284,43,25,469
494162611,396,37,24,53
494162612,1,35,12,246
494162613,473,40,21,181
494162614,200,32,17,73
494162615,237,35,12,441
494162616,100,42,17,303
494162617,336,39,15,150
494162618,394,30,14,146
494162619,310,41,13,205
494162620,242,43,12,160
494162621,114,34,12,295
494162622,472,31,17,347
494162623,161,35,16,245
494162624,422,34,14,48
494162625,73,35,18,194
494162626,240,34,21,285
494162627,128,32,13,300
494162628,144,32,19,288
494162629,294,37,14,281
494162630,56,45,25,364
494162631,248,30,13,183
494162632,47,39,23,98
494162633,19,45,20,435
494162634,370,39,14,37
494162635,424,40,21,302
494162636,463,41,17,140
494162637,24,31,17,225
494162638,358,45,17,438
494162639,411,42,15,40
494162640,271,34,23,49
494162641,116,41,20,412
494162642,284,43,25,469
494162643,396,37,24,53
494162644,1,35,12,246
494162645,473,40,21,181
494162646,200,32,17,73
494162647,237,35,12,441
494162648,100,42,17,303
494162649,336,39,15,150
494162650,394,30,14,146
494162651,310,41,13,205
494162652,242,43,12,160
494162653,114,34,12,295
494162654,472,31,17,347
494162655,161,35,16,245
494162656,422,34,14,48
494162657,73,35,18,194
494162658,240,34,21,285
494162659,128,32,13,300
494162660,144,32,19,288
494162661,294,37,14,281
494162662,56,45,25,364
494162663,248,30,13,183
494162664,47,39,23,98
494162665,19,45,20,435
494162666,370,39,14,37
494162667,424,40,21,302
494162668,463,41,17,140
494162669,24,31,17,225
494162670,358,45,17,438
494162671,411,42,15,40
494162672,271,34,23,49
494162673,116,41,20,412
494162674,284,43,25,469
494162675,396,37,24,53
494162676,1,35,12,246
494162677,473,40,21,181
494162678,200,32,17,73
494162679,237,35,12,441
494162680,100,42,17,303
494162681,336,39,15,150
494162682,394,30,14,146
494162683,310,41,13,205
494162684,242,43,12,160
494162685,114,34,12,295
494162686,472,31,17,347
494162687,161,35,16,245
494162688,422,34,14,48
494162689,73,35,18,194
494162690,240,34,21,285
494162691,128,32,13,300
494162692,144,32,19,288
494162693,294,37,14,281
494162694,56,45,25,364
494162695,248,30,13,183
494162696,47,39,23,98
494162697,19,45,20,435
494162698,370,39,14,37
494162699,424,40,21,302
494162700,463,41,17,140
494162701,24,31,17,225
494162702,358,45,17,438
494162703,411,42,15,40
494162704,271,34,23,49
494162705,116,41,20,412
494162706,284,43,25,469
494162707,396,37,24,53
494162708,1,35,12,246
494162709,473,40,21,181
494162710,200,32,17,73
494162711,237,35,12,441
494162712,100,42,17,303
494162713,336,39,15,150
494162714,394,30,14,146
494162715,310,41,13,205
494162716,242,43,12,160
494162717,114,34,12,295
494162718,472,31,17,347
494162719,161,35,16,245
494162720,422,34,14,48
494162721,73,35,18,194
494162722,240,34,21,285
494162723,128,32,13,300
494162724,144,32,19,288
494162725,294,37,14,281
494162726,56,45,25,364
494162727,248,30,13,183
494162728,47,39,23,98
494162729,19,45,20,435
494162730,370,39,14,37
494162731,424,40,21,302
494162732,463,41,17,140
494162733,24,31,17,225
494162734,358,45,17,438
494162735,411,42,15,40
494162736,271,34,23,49
494162737,116,41,20,412
494162738,284,43,25,469
494162739,396,37,24,53
494162740,1,35,12,246
494162741,473,40,21,181
494162742,200,32,17,73
494162743,237,35,12,441
494162744,100,42,17,303
494162745,336,39,15,150
494162746,394,30,14,146
494162747,310,41,13,205
494162748,242,43,12,160
494162749,114,34,12,295
494162750,472,31,17,347
494162751,161,35,16,245
494162752,422,34,14,48
494162753,73,35,18,194
494162754,240,34,21,285
494162755,128,32,13,300
494162756,144,32,19,288
494162757,294,37,14,281
494162758,56,45,25,364
494162759,248,30,13,183
494162760,47,39,23,98
494162761,19,45,20,435
494162762,370,39,14,37
494162763,424,40,21,302
494162764,463,41,17,140
494162765,24,31,17,225
494162766,358,45,17,438
494162767,411,42,15,40
494162768,271,34,23,49
494162769,116,41,20,412
494162770,284,43,25,469
494162771,396,37,24,53
494162772,1,35,12,246
494162773,473,40,21,181
494162774,200,32,17,73
494162775,237,35,12,441
494162776,100,42,17,303
494162777,336,39,15,150
494162778,394,30,14,146
494162779,310,41,13,205
494162780,242,43,12,160
494162781,114,34,12,295
494162782,472,31,17,347
494162783,161,35,16,245
494162784,422,34,14,48
494162785,73,35,18,194
494162786,240,34,21,285
494162787,128,32,13,300
494162788,144,32,19,288
494162789,294,37,14,281
494162790,56,45,25,364
494162791,248,30,13,183
494162792,47,39,23,98
494162793,19,45,20,435
494162794,370,39,14,37
494162795,424,40,21,302
494162796,463,41,17,140
494162797,24,31,17,225
494162798,358,45,17,438
494162799,411,42,15,40
494162800,271,34,23,49
494162801,116,41,20,412
494162802,284,43,25,469
494162803,396,37,24,53
494162804,1,35,12,246
494162805,473,40,21,181
494162806,200,32,17,73
494162807,237,35,12,441
494162808,100,42,17,303
494162809,336,39,15,150
494162810,394,30,14,146
494162811,310,41,13,205
494162812,242,43,12,160
494162813,114,34,12,295
494162814,472,31,17,347
494162815,161,35,16,245
494162816,422,34,14,48
494162817,73,35,18,194
494162818,240,34,21,285
494162819,128,32,13,300
494162820,144,32,19,288
494162821,294,37,14,281
494162822,56,45,25,364
494162823,248,30,13,183
494162824,47,39,23,98
494162825,19,45,20,435
494162826,370,39,14,37
494162827,424,40,21,302
494162828,463,41,17,140
494162829,24,31,17,225
494162830,358,45,17,438
494162831,411,42,15,40
494162832,271,34,23,49
494162833,116,41,20,412
494162834,284,43,25,469
494162835,396,37,24,53
494162836,1,35,12,246
494162837,473,40,21,181
494162838,200,32,17,73
494162839,237,35,12,441
494162840,100,42,17,303
494162841,336,39,15,150
494162842,394,30,14,146
494162843,310,41,13,205
494162844,242,43,12,160
494162845,114,34,12,295
494162846,472,31,17,347
494162847,161,35,16,245
494162848,422,34,14,48
494162849,73,35,18,194
494162850,240,34,21,285
494162851,128,32,13,300
494162852,144,32,19,288
494162853,294,37,14,281
494162854,56,45,25,364
494162855,248,30,13,183
494162856,47,39,23,98
494162857,19,45,20,435
494162858,370,39,14,37
494162859,424,40,21,302
494162860,463,41,17,140
494162861,24,31,17,225
494162862,358,45,17,438
494162863,411,42,15,40
494162864,271,34,23,49
494162865,116,41,20,412
494162866,284,43,25,469
494162867,396,37,24,53
494162868,1,35,12,246
494162869,473,40,21,181
494162870,200,32,17,73
494162871,237,35,12,441
494162872,100,42,17,303
494162873,336,39,15,150
494162874,394,30,14,146
494162875,310,41,13,205
494162876,242,43,12,160
494162877,114,34,12,295
494162878,472,31,17,347
494162879,161,35,16,245
494162880,422,34,14,48
494162881,73,35,18,194
494162882,240,34,21,285
494162883,128,32,13,300
494162884,144,32,19,288
494162885,294,37,14,281
494162886,56,45,25,364
494162887,248,30,13,183
494162888,47,39,23,98
494162889,19,45,20,435
494162890,370,39,14,37
494162891,424,40,21,302
494162892,463,41,17,140
494162893,24,31,17,225
494162894,358,45,17,438
494162895,411,42,15,40
494162896,271,34,23,49
494162897,116,41,20,412
494162898,284,43,25,469
494162899,396,37,24,53
494162900,1,35,12,246
494162901,473,40,21,181
494162902,200,32,17,73
494162903,237,35,12,441
494162904,100,42,17,303
494162905,336,39,15,150
494162906,394,30,14,146
494162907,310,41,13,205
494162908,242,43,12,160
494162909,114,34,12,295
494162910,472,31,17,347
494162911,161,35,16,245
494162912,422,34,14,48
494162913,73,35,18,194
494162914,240,34,21,285
494162915,128,32,13,300
494162916,144,32,19,288
494162917,294,37,14,281
494162918,56,45,25,364
494162919,248,30,13,183
494162920,47,39,23,98
494162921,19,45,20,435
494162922,370,39,14,37
494162923,424,40,21,302
494162924,463,41,17,140
494162925,24,31,17,225
494162926,358,45,17,438
494162927,411,42,15,40
494162928,271,34,23,49
494162929,116,41,20,412
494162930,284,43,25,469
494162931,396,37,24,53
494162932,1,35,12,246
494162933,473,40,21,181
494162934,200,32,17,73
494162935,237,35,12,441
494162936,100,42,17,303
494162937,336,39,15,150
494162938,394,30,14,146
494162939,310,41,13,205
494162940,242,43,12,160
494162941,114,34,12,295
494162942,472,31,17,347
494162943,161,35,16,245
494162944,422,34,14,48
494162945,73,35,18,194
494162946,240,34,21,285
494162947,128,32,13,300
494162948,144,32,19,288
494162949,294,37,14,281
494162950,56,45,25,364
494162951,248,30,13,183
494162952,47,39,23,98
494162953,19,45,20,435
494162954,370,39,14,37
494162955,424,40,21,302
494162956,463,41,17,140
494162957,24,31,17,225
494162958,358,45,17,438
494162959,411,42,15,40
494162960,271,34,23,49
494162961,116,41,20,412
494162962,284,43,25,469
494162963,396,37,24,53
494162964,1,35,12,246
494162965,473,40,21,181
494162966,200,32,17,73
494162967,237,35,12,441
494162968,100,42,17,303
494162969,336,39,15,150
494162970,394,30,14,146
494162971,310,41,13,205
494162972,242,43,12,160
494162973,114,34,12,295
494162974,472,31,17,347
494162975,161,35,16,245
494162976,422,34,14,48
494162977,73,35,18,194
494162978,240,34,21,285
494162979,128,32,13,300
494162980,144,32,19,288
494162981,294,37,14,281
494162982,56,45,25,364
494162983,248,30,13,183
494162984,47,39,23,98
494162985,19,45,20,435
494162986,370,39,14,37
494162987,424,40,21,302
494162988,463,41,17,140
494162989,24,31,17,225
494162990,358,45,17,438
494162991,411,42,15,40
494162992,271,34,23,49
494162993,116,41,20,412
494162994,284,43,25,469
494162995,396,37,24,53
494162996,1,35,12,246
494162997,473,40,21,181
494162998,200,32,17,73
494162999,237,35,12,441
494163000,100,42,17,303
494163001,336,39,15,150
494163002,394,30,14,146
494163003,310,41,13,205
494163004,242,43,12,160
494163005,114,34,12,295
494163006,472,31,17,347
494163007,161,35,16,245
494163008,422,34,14,48
494163009,73,35,18,194
494163010,240,34,21,285
494163011,128,32,13,300
494163012,144,32,19,288
494163013,294,37,14,281
494163014,56,45,25,364
494163015,248,30,13,183
494163016,47,39,23,98
494163017,19,45,20,435
494163018,370,39,14,37
494163019,424,40,21,302
494163020,463,41,17,140
494163021,24,31,17,225
494163022,358,45,17,438
494163023,411,42,15,40
494163024,271,34,23,49
494163025,116,41,20,412
494163026,284,43,25,469
494163027,396,37,24,53
494163028,1,35,12,246
494163029,473,40,21,181
494163030,200,32,17,73
494163031,237,35,12,441
494163032,100,42,17,303
494163033,336,39,15,150
494163034,394,30,14,146
494163035,310,41,13,205
494163036,242,43,12,160
494163037,114,34,12,295
494163038,472,31,17,347
494163039,161,35,16,245
494163040,422,34,14,48
494163041,73,35,18,194
494163042,240,34,21,285
494163043,128,32,13,300
494163044,144,32,19,288
494163045,294,37,14,281
494163046,56,45,25,364
494163047,248,30,13,183
494163048,47,39,23,98
494163049,19,45,20,435
494163050,370,39,14,37
494163051,424,40,21,302
494163052,463,41,17,140
494163053,24,31,17,225
494163054,358,45,17,438
494163055,411,42,15,40
494163056,271,34,23,49
494163057,116,41,20,412
494163058,284,43,25,469
494163059,396,37,24,53
494163060,1,35,12,246
494163061,473,40,21,181
494163062,200,32,17,73
494163063,237,35,12,441
494163064,100,42,17,303
494163065,336,39,15,150
494163066,394,30,14,146
494163067,310,41,13,205
494163068,242,43,12,160
494163069,114,34,12,295
494163070,472,31,17,347
494163071,161,35,16,245
494163072,422,34,14,48
494163073,73,35,18,194
494163074,240,34,21,285
494163075,128,32,13,300
494163076,144,32,19,288
494163077,294,37,14,281
494163078,56,45,25,364
494163079,248,30,13,183
494163080,47,39,23,98
494163081,19,45,20,435
494163082,370,39,14,37
494163083,424,40,21,302
494163084,463,41,17,140
494163085,24,31,17,225
494163086,358,45,17,438
494163087,411,42,15,40
494163088,271,34,23,49
494163089,116,41,20,412
494163090,284,43,25,469
494163091,396,37,24,53
494163092,1,35,12,246
494163093,473,40,21,181
494163094,200,32,17,73
494163095,237,35,12,441
494163096,100,42,17,303
494163097,336,39,15,150
494163098,394,30,14,146
494163099,310,41,13,205
494163100,242,43,12,160
494163101,114,34,12,295
494163102,472,31,17,347
494163103,161,35,16,245
494163104,422,34,14,48
494163105,73,35,18,194
494163106,240,34,21,285
494163107,128,32,13,300
494163108,144,32,19,288
494163109,294,37,14,281
494163110,56,45,25,364
494163111,248,30,13,183
494163112,47,39,23,98
494163113,19,45,20,435
494163114,370,39,14,37
494163115,424,40,21,302
494163116,463,41,17,140
494163117,24,31,17,225
494163118,358,45,17,438
494163119,411,42,15,40
494163120,271,34,23,49
494163121,116,41,20,412
494163122,284,43,25,469
494163123,396,37,24,53
494163124,1,35,12,246
494163125,473,40,21,181
494163126,200,32,17,73
494163127,237,35,12,441
494163128,100,42,17,303
494163129,336,39,15,150
494163130,394,30,14,146
494163131,310,41,13,205
494163132,242,43,12,160
494163133,114,34,12,295
494163134,472,31,17,347
494163135,161,35,16,245
494163136,422,34,14,48
494163137,73,35,18,194
494163138,240,34,21,285
494163139,128,32,13,300
494163140,144,32,19,288
494163141,294,37,14,281
494163142,56,45,25,364
494163143,248,30,13,183
494163144,47,39,23,98
494163145,19,45,20,435
494163146,370,39,14,37
494163147,424,40,21,302
494163148,463,41,17,140
494163149,24,31,17,225
494163150,358,45,17,438
494163151,411,42,15,40
494163152,271,34,23,49
494163153,116,41,20,412
494163154,284,43,25,469
494163155,396,37,24,53
494163156,1,35,12,246
494163157,473,40,21,181
494163158,200,32,17,73
494163159,237,35,12,441
494163160,100,42,17,303
494163161,336,39,15,150
494163162,394,30,14,146
494163163,310,41,13,205
494163164,242,43,12,160
494163165,114,34,12,295
494163166,472,31,17,347
494163167,161,35,16,245
494163168,422,34,14,48
494163169,73,35,18,194
494163170,240,34,21,285
494163171,128,32,13,300
494163172,144,32,19,288
494163173,294,37,14,281
494163174,56,45,25,364
494163175,248,30,13,183
494163176,47,39,23,98
494163177,19,45,20,435
494163178,370,39,14,37
494163179,424,40,21,302
494163180,463,41,17,140
494163181,24,31,17,225
494163182,358,45,17,438
494163183,411,42,15,40
494163184,271,34,23,49
494163185,116,41,20,412
494163186,284,43,25,469
494163187,396,37,24,53
494163188,1,35,12,246
494163189,473,40,21,181
494163190,200,32,17,73
494163191,237,35,12,441
494163192,100,42,17,303
494163193,336,39,15,150
494163194,394,30,14,146
494163195,310,41,13,205
494163196,242,43,12,160
494163197,114,34,12,295
494163198,472,31,17,347
494163199,161,35,16,245
494163200,422,34,14,48
494163201,73,35,18,194
494163202,240,34,21,285
494163203,128,32,13,300
494163204,144,32,19,288
494163205,294,37,14,281
494163206,56,45,25,364
494163207,248,30,13,183
494163208,47,39,23,98
494163209,19,45,20,435
494163210,370,39,14,37
494163211,424,40,21,302
494163212,463,41,17,140
494163213,24,31,17,225
494163214,358,45,17,438
494163215,411,42,15,40
494163216,271,34,23,49
494163217,116,41,20,412
494163218,284,43,25,469
494163219,396,37,24,53
494163220,1,35,12,246
494163221,473,40,21,181
494163222,200,32,17,73
494163223,237,35,12,441
494163224,100,42,17,303
494163225,336,39,15,150
494163226,394,30,14,146
494163227,310,41,13,205
494163228,242,43,12,160
494163229,114,34,12,295
494163230,472,31,17,347
494163231,161,35,16,245
494163232,422,34,14,48
494163233,73,35,18,194
494163234,240,34,21,285
494163235,128,32,13,300
494163236,144,32,19,288
494163237,294,37,14,281
494163238,56,45,25,364
494163239,248,30,13,183
494163240,47,39,23,98
494163241,19,45,20,435
494163242,370,39,14,37
494163243,424,40,21,302
494163244,463,41,17,140
494163245,24,31,17,225
494163246,358,45,17,438
494163247,411,42,15,40
494163248,271,34,23,49
494163249,116,41,20,412
494163250,284,43,25,469
494163251,396,37,24,53
494163252,1,35,12,246
494163253,473,40,21,181
494163254,200,32,17,73
494163255,237,35,12,441
494163256,100,42,17,303
494163257,336,39,15,150
494163258,394,30,14,146
494163259,310,41,13,205
494163260,242,43,12,160
494163261,114,34,12,295
494163262,472,31,17,347
494163263,161,35,16,245
494163264,422,34,14,48
494163265,73,35,18,194
494163266,240,34,21,285
494163267,128,32,13,300
494163268,144,32,19,288
494163269,294,37,14,281
494163270,56,45,25,364
494163271,248,30,13,183
494163272,47,39,23,98
494163273,19,45,20,435
494163274,370,39,14,37
494163275,424,40,21,302
494163276,463,41,17,140
494163277,24,31,17,225
494163278,358,45,17,438
494163279,411,42,15,40
494163280,271,34,23,49
494163281,116,41,20,412
494163282,284,43,25,469
494163283,396,37,24,53
494163284,1,35,12,246
494163285,473,40,21,181
494163286,200,32,17,73
494163287,237,35,12,441
494163288,100,42,17,303
494163289,336,39,15,150
494163290,394,30,14,146
494163291,310,41,13,205
494163292,242,43,12,160
494163293,114,34,12,295
494163294,472,31,17,347
494163295,161,35,16,245
494163296,422,34,14,48
494163297,73,35,18,194
494163298,240,34,21,285
494163299,128,32,13,300
494163300,144,32,19,288
494163301,294,37,14,281
494163302,56,45,25,364
494163303,248,30,13,183
494163304,47,39,23,98
494163305,19,45,20,435
494163306,370,39,14,37
494163307,424,40,21,302
494163308,463,41,17,140
494163309,24,31,17,225
494163310,358,45,17,438
494163311,411,42,15,40
494163312,271,34,23,49
494163313,116,41,20,412
494163314,284,43,25,469
494163315,396,37,24,53
494163316,1,35,12,246
494163317,473,40,21,181
494163318,200,32,17,73
494163319,237,35,12,441
494163320,100,42,17,303
494163321,336,39,15,150
494163322,394,30,14,146
494163323,310,41,13,205
494163324,242,43,12,160
494163325,114,34,12,295
494163326,472,31,17,347
494163327,161,35,16,245
494163328,422,34,14,48
494163329,73,35,18,194
494163330,240,34,21,285
494163331,128,32,13,300
494163332,144,32,19,288
494163333,294,37,14,281
494163334,56,45,25,364
494163335,248,30,13,183
494163336,47,39,23,98
494163337,19,45,20,435
494163338,370,39,14,37
494163339,424,40,21,302
494163340,463,41,17,140
494163341,24,31,17,225
494163342,358,45,17,438
494163343,411,42,15,40
494163344,271,34,23,49
494163345,116,41,20,412
494163346,284,43,25,469
494163347,396,37,24,53
494163348,1,35,12,246
494163349,473,40,21,181
494163350,200,32,17,73
494163351,237,35,12,441
494163352,100,42,17,303
494163353,336,39,15,150
494163354,394,30,14,146
494163355,310,41,13,205
494163356,242,43,12,160
494163357,114,34,12,295
494163358,472,31,17,347
494163359,161,35,16,245
494163360,422,34,14,48
494163361,73,35,18,194
494163362,240,34,21,285
494163363,128,32,13,300
494163364,144,32,19,288
494163365,294,37,14,281
494163366,56,45,25,364
494163367,248,30,13,183
494163368,47,39,23,98
494163369,19,45,20,435
494163370,370,39,14,37
494163371,424,40,21,302
494163372,463,41,17,140
494163373,24,31,17,225
494163374,358,45,17,438
494163375,411,42,15,40
494163376,271,34,23,49
494163377,116,41,20,412
494163378,284,43,25,469
494163379,396,37,24,53
494163380,1,35,12,246
494163381,473,40,21,181
494163382,200,32,17,73
494163383,237,35,12,441
494163384,100,42,17,303
494163385,336,39,15,150
494163386,394,30,14,146
494163387,310,41,13,205
494163388,242,43,12,160
494163389,114,34,12,295
494163390,472,31,17,347
494163391,161,35,16,245
494163392,422,34,14,48
494163393,73,35,18,194
494163394,240,34,21,285
494163395,128,32,13,300
494163396,144,32,19,288
494163397,294,37,14,281
494163398,56,45,25,364
494163399,248,30,13,183
494163400,47,39,23,98
494163401,19,45,20,435
494163402,370,39,14,37
494163403,424,40,21,302
494163404,463,41,17,140
494163405,24,31,17,225
494163406,358,45,17,438
494163407,411,42,15,40
494163408,271,34,23,49
494163409,116,41,20,412
494163410,284,43,25,469
494163411,396,37,24,53
494163412,1,35,12,246
494163413,473,40,21,181
494163414,200,32,17,73
494163415,237,35,12,441
494163416,100,42,17,303
494163417,336,39,15,150
494163418,394,30,14,146
494163419,310,41,13,205
494163420,242,43,12,160
494163421,114,34,12,295
494163422,472,31,17,347
494163423,161,35,16,245
494163424,422,34,14,48
494163425,73,35,18,194
494163426,240,34,21,285
494163427,128,32,13,300
494163428,144,32,19,288
494163429,294,37,14,281
494163430,56,45,25,364
494163431,248,30,13,183
